game_id,ai_player,white_elo,black_elo,winner,total_moves,eco,moves_list,move_category
454566832,black,1992,2224,black,64,B07,"['d2d4', 'c7c6', 'e2e4', 'd7d6', 'b1c3', 'b7b5', 'a2a3', 'd8a5', 'c1d2', 'a5d8', 'd2e3', 'e7e6', 'd1d2', 'f8e7', 'f2f3', 'g8f6', 'e1c1', 'e8g8', 'c3e2', 'd6d5', 'e4e5', 'f6d7', 'g2g4', 'd7b6', 'b2b3', 'e7a3', 'c1b1', 'a7a5', 'e2c1', 'a5a4', 'b3b4', 'd8e7', 'c2c3', 'b8d7', 'c1a2', 'b6c4', 'f1c4', 'b5c4', 'b1a1', 'c8b7', 'f3f4', 'f7f6', 'g1f3', 'f8f7', 'g4g5', 'f6g5', 'f3g5', 'f7f5', 'h1g1', 'd7f8', 'h2h4', 'f8g6', 'h4h5', 'g6h8', 'g1g2', 'h7h6', 'g5f3', 'f5h5', 'd1g1', 'g8f8', 'a2c1', 'g7g6', 'c1e2', 'h5h3']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
431855388,black,1866,2335,black,70,B21,"['e2e4', 'c7c5', 'f2f4', 'g8f6', 'd2d3', 'd7d5', 'e4e5', 'f6g4', 'g1f3', 'b8c6', 'f1e2', 'c8f5', 'e1g1', 'e7e6', 'h2h3', 'g4h6', 'g2g4', 'f5g6', 'c2c3', 'f8e7', 'f1f2', 'e7h4', 'f2g2', 'a7a6', 'b1d2', 'e8g8', 'd2f1', 'b7b5', 'f1g3', 'h4e7', 'f4f5', 'e6f5', 'c1h6', 'f5g4', 'h3g4', 'g7h6', 'g3f5', 'g8h8', 'f5h6', 'f7f6', 'f3h4', 'f6e5', 'h4g6', 'h7g6', 'g2h2', 'h8g7', 'g1g2', 'e7g5', 'd1h1', 'f8h8', 'h6f5', 'g6f5', 'g4f5', 'd8f6', 'e2h5', 'f6f5', 'a1f1', 'f5d3', 'f1f7', 'g7g8', 'f7f2', 'g5e3', 'h5e2', 'd3g6', 'g2f1', 'g6b1', 'f1g2', 'h8h2', 'h1h2', 'e3f2']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
437553854,black,2117,1960,white,59,C44,"['e2e4', 'e7e5', 'g1f3', 'g8f6', 'd2d3', 'b8c6', 'c2c4', 'f8c5', 'b1c3', 'f6g4', 'c1e3', 'g4e3', 'f2e3', 'c5e3', 'c3d5', 'e3c5', 'd1d2', 'd7d6', 'e1c1', 'c8g4', 'f1e2', 'e8g8', 'h2h3', 'g4e6', 'd5e3', 'c6b4', 'a2a3', 'b4c6', 'g2g4', 'c6a5', 'c1c2', 'e6d7', 'b2b3', 'a5c6', 'c2b2', 'a7a5', 'e3f5', 'g7g6', 'd2h6', 'g6f5', 'f3g5', 'c5d4', 'b2b1', 'd8g5', 'h6g5', 'g8h8', 'g5f6', 'h8g8', 'g4f5', 'f8e8', 'h1g1', 'd4g1', 'd1g1', 'g8f8', 'g1g7', 'e8e7', 'g7h7', 'f8e8', 'h7h8']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
451527704,white,2043,2093,black,38,A01,"['b2b3', 'c7c5', 'c1b2', 'g8f6', 'd2d4', 'c5d4', 'd1d4', 'd7d5', 'd4d3', 'b8c6', 'b1d2', 'e7e5', 'e1c1', 'e5e4', 'd3b5', 'a7a6', 'b2f6', 'd8f6', 'b5a4', 'f6a1', 'd2b1', 'b7b5', 'c1d2', 'b5a4', 'b3a4', 'f8b4', 'c2c3', 'a1b2', 'd2e3', 'b4c5', 'd1d4', 'c6d4', 'c3d4', 'b2d4', 'e3f4', 'e4e3', 'f4f3', 'd4g4']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
451975399,white,1985,2169,black,48,B07,"['e2e4', 'd7d6', 'g1f3', 'e7e6', 'b1c3', 'g8f6', 'f1d3', 'a7a6', 'e1g1', 'f8e7', 'e4e5', 'd6e5', 'f3e5', 'b8d7', 'e5d7', 'c8d7', 'd1f3', 'd7c6', 'd3e4', 'f6e4', 'c3e4', 'f7f5', 'd2d3', 'f5e4', 'd3e4', 'e7f6', 'f1d1', 'd8e7', 'c1e3', 'e8g8', 'a1b1', 'f6b2', 'e3f4', 'b2e5', 'g2g3', 'e7f6', 'b1b4', 'e5f4', 'f3f4', 'f6f4', 'g3f4', 'f8f4', 'd1e1', 'a8d8', 'g1f1', 'd8d2', 'e1e2', 'd2e2']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
470863707,black,2312,2257,white,66,A50,"['d2d4', 'g8f6', 'c2c4', 'e7e6', 'g1f3', 'b8c6', 'e2e3', 'd7d5', 'b1d2', 'f8e7', 'a2a3', 'e8g8', 'f1d3', 'b7b6', 'e1g1', 'a7a5', 'b2b3', 'c8b7', 'c1b2', 'd5c4', 'b3c4', 'f8e8', 'd1c2', 'c6a7', 'a1d1', 'a8c8', 'e3e4', 'f6h5', 'g2g3', 'c8b8', 'd4d5', 'd8d7', 'f3e5', 'd7c8', 'd3e2', 'h5f6', 'd2f3', 'e6d5', 'c4d5', 'e7c5', 'e5f7', 'g8f7', 'f3g5', 'f7e7', 'e4e5', 'f6d5', 'c2h7', 'e8g8', 'h7g6', 'g8f8', 'g6g7', 'e7d8', 'e5e6', 'c5e7', 'e2g4', 'c7c5', 'g5f7', 'd8e8', 'f7d6', 'e7d6', 'g7g5', 'c8e6', 'g4e6', 'a7c8', 'b2g7', 'f8f3']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
455037910,black,1595,2614,black,72,E00,"['d2d4', 'g8f6', 'c2c4', 'e7e6', 'g2g3', 'c7c5', 'f1g2', 'c5d4', 'g1f3', 'e6e5', 'e1g1', 'd7d6', 'e2e3', 'd4e3', 'c1e3', 'f8e7', 'b1c3', 'e8g8', 'h2h3', 'b8c6', 'a2a3', 'h7h6', 'a1b1', 'c8e6', 'd1e2', 'd8d7', 'g1h2', 'f8e8', 'f1d1', 'e6f5', 'b1c1', 'e7f8', 'b2b4', 'a8c8', 'f3h4', 'f5h7', 'h4f3', 'b7b6', 'e2d2', 'e5e4', 'f3d4', 'c6e5', 'c3d5', 'f8e7', 'd5e7', 'd7e7', 'd2a2', 'e5d3', 'c1c3', 'f6d7', 'd4c6', 'c8c6', 'c3d3', 'e4d3', 'g2c6', 'h7e4', 'c6e4', 'e7e4', 'c4c5', 'd7e5', 'h3h4', 'd6c5', 'b4c5', 'e5f3', 'h2h3', 'g7g5', 'a2b1', 'g5g4', 'h3g2', 'f3e1', 'g2f1', 'e4h1']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
453125942,black,1683,2684,black,50,A45,"['d2d4', 'd7d5', 'f2f3', 'g8f6', 'e2e4', 'd5e4', 'f3e4', 'f6e4', 'g1f3', 'c8f5', 'f1d3', 'e7e6', 'e1g1', 'b8d7', 'f1e1', 'd7f6', 'd4d5', 'd8d5', 'd3e4', 'f8c5', 'g1h1', 'd5d1', 'e1d1', 'f6e4', 'c1d2', 'e4f2', 'h1g1', 'f2d1', 'g1f1', 'd1b2', 'b1c3', 'f5c2', 'a1c1', 'c2d3', 'f1e1', 'b7b6', 'c3d1', 'b2c4', 'd1e3', 'c4e3', 'd2e3', 'c5e3', 'c1c3', 'e8c8', 'f3e5', 'e3d4', 'c3d3', 'd4e5', 'd3e3', 'd8d5']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
471861773,white,2417,1723,white,51,C64,"['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1b5', 'f8c5', 'c2c3', 'd8f6', 'd2d3', 'h7h6', 'b1d2', 'g8e7', 'b2b4', 'c5b6', 'e1g1', 'e8g8', 'b5c6', 'e7c6', 'd2c4', 'd7d6', 'a2a4', 'a7a6', 'c4b6', 'c7b6', 'c1e3', 'c8g4', 'e3b6', 'f6g6', 'f3h4', 'g6g5', 'f2f3', 'g4e6', 'd1e1', 'e6h3', 'b6e3', 'g5f6', 'g2h3', 'f6e6', 'h4f5', 'g7g6', 'f5h6', 'g8g7', 'e1h4', 'f8h8', 'f3f4', 'e6d7', 'f4e5', 'd6e5', 'h4f6', 'g7f8', 'e3c5']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
475586717,black,1911,2100,black,72,B30,"['e2e4', 'c7c5', 'f1c4', 'b8c6', 'g1f3', 'd7d6', 'd2d3', 'e7e6', 'b1c3', 'g8f6', 'c4b5', 'a7a6', 'b5a4', 'b7b5', 'a4b3', 'b5b4', 'c3e2', 'c6a5', 'c1g5', 'a5b3', 'a2b3', 'f8e7', 'e1g1', 'e8g8', 'e2f4', 'h7h6', 'g5h4', 'g7g5', 'f3g5', 'h6g5', 'h4g5', 'c8b7', 'f4h3', 'a6a5', 'f2f4', 'd8b6', 'g1h1', 'b7c6', 'g5h4', 'a5a4', 'f1f3', 'a4b3', 'f3g3', 'g8h7', 'a1c1', 'b3c2', 'd1f3', 'h7h6', 'h4g5', 'h6g7', 'g5f6', 'g7f6', 'f3h5', 'f8g8', 'h3f2', 'g8g3', 'h2g3', 'f6g7', 'h5g4', 'g7f8', 'g4h5', 'e7f6', 'h1g1', 'b4b3', 'f2g4', 'c5c4', 'g1f1', 'f6b2', 'h5h6', 'f8e8', 'g4f6', 'e8e7']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
